t_utc[s],a_x[m/s2],a_y[m/s2],a_z[m/s2],w_x[rad/s],w_y[rad/s],w_z[rad/s]
1781271121.471574,-0.343820,-1.712244,-9.649797,0.669160,-0.845133,-0.661868
1781271121.481574,-0.417769,-1.779970,-9.634596,0.676610,-0.926577,-0.668247
1781271121.491574,-0.496149,-1.847352,-9.618176,0.653094,-0.948496,-0.674568
1781271121.501574,-0.572181,-1.911586,-9.601399,0.601957,-0.889633,-0.682776
1781271121.511574,-0.636370,-1.969470,-9.585677,0.509533,-0.710082,-0.689655
1781271121.521574,-0.676016,-2.016360,-9.573248,0.366938,-0.382282,-0.666888
1781271121.531574,-0.678945,-2.047215,-9.566513,0.185166,0.060960,-0.586041
1781271121.541574,-0.641642,-2.060087,-9.566307,0.015587,0.478385,-0.448455
1781271121.551574,-0.574890,-2.058385,-9.570884,-0.090311,0.729682,-0.288523
1781271121.561574,-0.497929,-2.049457,-9.577103,-0.112433,0.758734,-0.141114
1781271121.571574,-0.430051,-2.041994,-9.582007,-0.043087,0.603301,-0.038982
1781271121.581574,-0.384922,-2.044799,-9.583356,0.105214,0.316960,-0.006655
1781271121.591574,-0.371580,-2.064308,-9.579708,0.300698,-0.056626,-0.043495
1781271121.601574,-0.393509,-2.103237,-9.570333,0.499137,-0.437615,-0.137377
1781271121.611574,-0.445546,-2.160253,-9.555290,0.664124,-0.723696,-0.255089
1781271121.621574,-0.514938,-2.231039,-9.535476,0.773142,-0.852458,-0.357311
1781271121.631574,-0.586730,-2.309913,-9.512512,0.821158,-0.825366,-0.413584
1781271121.641574,-0.648974,-2.390627,-9.488514,0.808391,-0.684228,-0.417210
1781271121.651574,-0.694655,-2.467155,-9.465694,0.739719,-0.477710,-0.367161
1781271121.661574,-0.720343,-2.534234,-9.446064,0.621212,-0.229341,-0.265657
1781271121.671574,-0.724736,-2.587595,-9.431275,0.472856,0.027161,-0.118965
1781271121.681574,-0.710691,-2.624936,-9.422033,0.310215,0.242186,0.055540
1781271121.691574,-0.685540,-2.645759,-9.418077,0.152084,0.358071,0.237132
1781271121.701574,-0.659340,-2.651232,-9.418412,0.009138,0.360338,0.392611
1781271121.711574,-0.640816,-2.643419,-9.421889,-0.113529,0.273832,0.496565
1781271121.721574,-0.635116,-2.624823,-9.427471,-0.209258,0.134670,0.542831
1781271121.731574,-0.643790,-2.598454,-9.434179,-0.273726,-0.018685,0.537180
1781271121.741574,-0.665186,-2.567385,-9.441190,-0.310850,-0.147487,0.496129
1781271121.751574,-0.695000,-2.534049,-9.448040,-0.326480,-0.226082,0.437683
1781271121.761574,-0.728072,-2.500527,-9.454478,-0.320346,-0.249385,0.383527
1781271121.771574,-0.759857,-2.468742,-9.460332,-0.292000,-0.223048,0.353940
1781271121.781574,-0.786739,-2.440427,-9.465487,-0.248057,-0.160139,0.352761
1781271121.791574,-0.806811,-2.416917,-9.469835,-0.188362,-0.079594,0.372166
1781271121.801574,-0.820337,-2.399589,-9.473084,-0.111438,-0.010106,0.412282
1781271121.811574,-0.829680,-2.389606,-9.474797,-0.023095,0.031191,0.472203
1781271121.821574,-0.837917,-2.387385,-9.474632,0.061912,0.046602,0.542571
1781271121.831574,-0.847081,-2.391727,-9.472722,0.129010,0.056193,0.625773
1781271121.841574,-0.856561,-2.400231,-9.469717,0.167955,0.086750,0.720255
1781271121.851574,-0.864628,-2.410226,-9.466445,0.177524,0.134407,0.822252
1781271121.861574,-0.870479,-2.419285,-9.463598,0.167689,0.184690,0.917376
1781271121.871574,-0.874184,-2.425525,-9.461660,0.136935,0.224413,0.988843
1781271121.881574,-0.875825,-2.427805,-9.460924,0.095499,0.256184,1.016460
1781271121.891574,-0.874747,-2.425882,-9.461517,0.049566,0.285726,1.002723
1781271121.901574,-0.870090,-2.420058,-9.463436,0.009158,0.318410,0.961034
1781271121.911574,-0.860370,-2.411148,-9.466597,-0.024516,0.368916,0.912668
1781271121.921574,-0.842574,-2.399828,-9.471069,-0.054042,0.464321,0.871074
1781271121.931574,-0.812941,-2.386427,-9.477033,-0.079194,0.599624,0.852056
1781271121.941574,-0.769114,-2.371172,-9.484501,-0.099581,0.754126,0.859937
1781271121.951574,-0.710861,-2.355034,-9.493043,-0.102546,0.904403,0.890546
1781271121.961574,-0.641246,-2.340352,-9.501613,-0.072921,1.002423,0.933959
1781271121.971574,-0.567719,-2.330841,-9.508627,-0.002507,1.002939,0.987012
1781271121.981574,-0.500486,-2.330383,-9.512532,0.107454,0.896890,1.049320
1781271121.991574,-0.448897,-2.342099,-9.512251,0.245350,0.713336,1.112444
1781271122.001574,-0.418272,-2.367381,-9.507397,0.389190,0.494843,1.165670
1781271122.011574,-0.409672,-2.405742,-9.498131,0.517012,0.286653,1.205280
1781271122.021574,-0.420448,-2.454564,-9.485144,0.610152,0.118938,1.236394
1781271122.031574,-0.445693,-2.509166,-9.469679,0.647782,0.012287,1.277470
1781271122.041574,-0.478987,-2.563394,-9.453515,0.616307,-0.004929,1.342226
1781271122.051574,-0.510944,-2.610556,-9.438942,0.516720,0.102061,1.443669
1781271122.061574,-0.530817,-2.644444,-9.428430,0.362152,0.331201,1.587398
1781271122.071574,-0.530633,-2.661195,-9.423737,0.180409,0.619460,1.774843
1781271122.081574,-0.509815,-2.660313,-9.425126,0.008584,0.871832,1.984643
1781271122.091574,-0.476110,-2.644494,-9.431326,-0.123031,0.997791,2.185769
1781271122.101574,-0.442162,-2.618487,-9.440229,-0.202834,0.967762,2.341667
1781271122.111574,-0.419445,-2.587570,-9.449794,-0.230226,0.818191,2.432283
1781271122.121574,-0.415326,-2.556329,-9.458479,-0.213810,0.594198,2.448133
1781271122.131574,-0.432012,-2.527885,-9.465369,-0.170427,0.361818,2.392148
1781271122.141574,-0.465146,-2.503706,-9.470216,-0.121579,0.193305,2.279971
1781271122.151574,-0.505845,-2.483351,-9.473487,-0.085496,0.120807,2.131496
1781271122.161574,-0.545161,-2.465387,-9.476003,-0.069477,0.129507,1.971897
1781271122.171574,-0.576246,-2.448214,-9.478625,-0.070239,0.203445,1.825023
1781271122.181574,-0.594123,-2.430819,-9.482004,-0.078604,0.332278,1.710899
1781271122.191574,-0.595616,-2.412808,-9.486511,-0.091390,0.489808,1.637501
1781271122.201574,-0.580190,-2.394226,-9.492167,-0.098830,0.651870,1.604138
1781271122.211574,-0.549834,-2.375885,-9.498570,-0.094475,0.786949,1.603481
1781271122.221574,-0.508753,-2.359135,-9.505024,-0.078062,0.870869,1.619493
1781271122.231574,-0.462439,-2.344948,-9.510897,-0.056639,0.897462,1.632475
1781271122.241574,-0.415551,-2.333664,-9.515837,-0.033693,0.884125,1.629409
1781271122.251574,-0.370784,-2.325146,-9.519775,-0.011864,0.846765,1.613745
1781271122.261574,-0.329782,-2.319117,-9.522759,0.003511,0.796750,1.599528
1781271122.271574,-0.293230,-2.314965,-9.524969,0.012154,0.747583,1.592030
1781271122.281574,-0.260924,-2.311940,-9.526647,0.015490,0.705166,1.592176
1781271122.291574,-0.232337,-2.309608,-9.527955,0.016132,0.670031,1.603239
1781271122.301574,-0.207070,-2.307646,-9.529015,0.015271,0.643639,1.626157
1781271122.311574,-0.184315,-2.305817,-9.529927,0.011202,0.631139,1.661855
1781271122.321574,-0.162860,-2.303712,-9.530827,0.002178,0.637079,1.712223
1781271122.331574,-0.141736,-2.300771,-9.531875,-0.010564,0.649804,1.782342
1781271122.341574,-0.121206,-2.296508,-9.533186,-0.029134,0.657551,1.861535
1781271122.351574,-0.102640,-2.290582,-9.534831,-0.052134,0.642922,1.932752
1781271122.361574,-0.087962,-2.282732,-9.536861,-0.076364,0.601819,1.983799
1781271122.371574,-0.078650,-2.272601,-9.539363,-0.102370,0.546806,2.006044
1781271122.381574,-0.074575,-2.259885,-9.542415,-0.132774,0.491760,1.997700
1781271122.391574,-0.074163,-2.244282,-9.546099,-0.164477,0.452924,1.957786
1781271122.401574,-0.075678,-2.226081,-9.550347,-0.186148,0.416435,1.898766
1781271122.411574,-0.079786,-2.206343,-9.554892,-0.194688,0.356955,1.832551
1781271122.421574,-0.088783,-2.186170,-9.559446,-0.194375,0.275902,1.759795
1781271122.431574,-0.103370,-2.166181,-9.563848,-0.190636,0.202489,1.682172
1781271122.441574,-0.121596,-2.146471,-9.568076,-0.186079,0.157231,1.596476
1781271122.451574,-0.140369,-2.127079,-9.572149,-0.179302,0.142050,1.497797
1781271122.461574,-0.156805,-2.108659,-9.575971,-0.160701,0.155170,1.384372
1781271122.471574,-0.168390,-2.092821,-9.579251,-0.121924,0.185017,1.264432
1781271122.481574,-0.174583,-2.081839,-9.581536,-0.060312,0.208632,1.149885
1781271122.491574,-0.176815,-2.077950,-9.582340,0.022022,0.216971,1.046394
1781271122.501574,-0.176986,-2.082697,-9.581305,0.115131,0.211561,0.958133
1781271122.511574,-0.176910,-2.096765,-9.578235,0.213455,0.188701,0.886795
1781271122.521574,-0.178867,-2.120569,-9.572949,0.315090,0.143530,0.831226
1781271122.531574,-0.185353,-2.153903,-9.565372,0.410244,0.080280,0.793544
1781271122.541574,-0.197796,-2.195401,-9.555673,0.484510,0.016532,0.781639
1781271122.551574,-0.216040,-2.241773,-9.544499,0.512570,-0.030527,0.795941
1781271122.561574,-0.237901,-2.287411,-9.533147,0.473917,-0.036008,0.832523
1781271122.571574,-0.258455,-2.325502,-9.523405,0.360598,0.030277,0.888656
1781271122.581574,-0.270618,-2.348873,-9.517346,0.171858,0.179639,0.968112
1781271122.591574,-0.268738,-2.351580,-9.516732,-0.062474,0.360368,1.067975
1781271122.601574,-0.255279,-2.331877,-9.521935,-0.284536,0.454414,1.165070
1781271122.611574,-0.241300,-2.294069,-9.531466,-0.434566,0.406792,1.230113
1781271122.621574,-0.237368,-2.247066,-9.542751,-0.477200,0.258174,1.240066
1781271122.631574,-0.249760,-2.201149,-9.553133,-0.411819,0.045162,1.195984
1781271122.641574,-0.282101,-2.165435,-9.560388,-0.264650,-0.195284,1.107543
1781271122.651574,-0.333989,-2.145820,-9.563124,-0.078054,-0.411300,0.984950
1781271122.661574,-0.400684,-2.144014,-9.560947,0.103492,-0.562918,0.846097
1781271122.671574,-0.474556,-2.157952,-9.554417,0.248007,-0.619624,0.712080
1781271122.681574,-0.545750,-2.182959,-9.544939,0.334325,-0.559514,0.601971
1781271122.691574,-0.604157,-2.213350,-9.534441,0.358889,-0.397399,0.522301
1781271122.701573,-0.643028,-2.243720,-9.524820,0.333592,-0.183611,0.475932
1781271122.711573,-0.660917,-2.269538,-9.517490,0.265693,0.025660,0.465171
1781271122.721573,-0.661178,-2.287453,-9.513187,0.169626,0.189940,0.490333
1781271122.731573,-0.649587,-2.295200,-9.512119,0.057437,0.295943,0.544386
1781271122.741573,-0.632497,-2.291331,-9.514201,-0.065824,0.331912,0.604986
1781271122.751573,-0.616660,-2.275420,-9.519055,-0.188169,0.291619,0.645734
1781271122.761573,-0.608168,-2.248090,-9.526086,-0.301342,0.189809,0.653032
1781271122.771573,-0.610855,-2.210466,-9.534704,-0.403829,0.053603,0.630335
1781271122.781573,-0.625756,-2.164033,-9.544370,-0.489044,-0.083829,0.588699
1781271122.791573,-0.651603,-2.110662,-9.554572,-0.552957,-0.199166,0.542489
1781271122.801573,-0.686105,-2.052013,-9.564913,-0.602022,-0.291345,0.498011
1781271122.811573,-0.727138,-1.989562,-9.575059,-0.635490,-0.359860,0.453933
1781271122.821573,-0.771902,-1.924718,-9.584800,-0.653229,-0.390655,0.411398
1781271122.831573,-0.815688,-1.858415,-9.594256,-0.665539,-0.358798,0.377573
1781271122.841573,-0.851207,-1.791184,-9.603964,-0.672290,-0.230379,0.363434
1781271122.851573,-0.869303,-1.723673,-9.614701,-0.667037,-0.003151,0.373115
1781271122.861573,-0.863323,-1.657231,-9.626912,-0.642495,0.263054,0.397943
1781271122.871573,-0.833580,-1.594634,-9.640089,-0.581320,0.486253,0.423227
1781271122.881573,-0.786374,-1.540084,-9.652915,-0.474562,0.623349,0.439405
1781271122.891573,-0.729901,-1.497616,-9.664035,-0.334608,0.676066,0.442199
1781271122.901573,-0.671249,-1.469735,-9.672577,-0.178990,0.665760,0.436903
1781271122.911573,-0.615736,-1.457594,-9.678119,-0.017377,0.606129,0.428353
1781271122.921573,-0.568541,-1.461428,-9.680440,0.143902,0.491342,0.420005
1781271122.931573,-0.534586,-1.480686,-9.679454,0.295372,0.334136,0.410084
1781271122.941573,-0.515392,-1.513598,-9.675399,0.424395,0.191328,0.399818
1781271122.951573,-0.507166,-1.557610,-9.668836,0.525620,0.112189,0.396981
1781271122.961573,-0.503477,-1.609852,-9.660459,0.592938,0.102107,0.401138
1781271122.971573,-0.498336,-1.667105,-9.651005,0.628751,0.146302,0.414283
1781271122.981573,-0.487840,-1.726032,-9.641176,0.630736,0.221991,0.442347
1781271122.991573,-0.471007,-1.783382,-9.631573,0.600370,0.293723,0.478541
1781271123.001573,-0.449510,-1.836593,-9.622602,0.549642,0.335740,0.512711
1781271123.011573,-0.426675,-1.884354,-9.614412,0.491150,0.338804,0.546235
1781271123.021573,-0.406263,-1.926388,-9.606972,0.431309,0.304493,0.581595
1781271123.031573,-0.391512,-1.962775,-9.600224,0.374817,0.242647,0.618188
1781271123.041573,-0.384221,-1.993790,-9.594131,0.321784,0.170657,0.655167
1781271123.051573,-0.384489,-2.019948,-9.588650,0.278408,0.102575,0.683663
1781271123.061573,-0.391882,-2.042919,-9.583483,0.258519,0.032146,0.690707
1781271123.071573,-0.406620,-2.065682,-9.577984,0.275254,-0.049006,0.672951
1781271123.081573,-0.429199,-2.091632,-9.571356,0.326320,-0.138875,0.633622
1781271123.091573,-0.459959,-2.123466,-9.562900,0.397257,-0.235684,0.589228
1781271123.101573,-0.498619,-2.161994,-9.552310,0.464567,-0.314625,0.550430
1781271123.111573,-0.541404,-2.205918,-9.539925,0.510329,-0.324161,0.533844
1781271123.121573,-0.581579,-2.252731,-9.526617,0.530268,-0.258170,0.553348
1781271123.131573,-0.615176,-2.300003,-9.513209,0.529512,-0.171493,0.604173
1781271123.141573,-0.642672,-2.345882,-9.500186,0.512634,-0.095960,0.669430
1781271123.151573,-0.664823,-2.388263,-9.488103,0.470087,-0.016012,0.732743
1781271123.161573,-0.679367,-2.423948,-9.478031,0.383575,0.104916,0.787101
1781271123.171573,-0.681020,-2.448367,-9.471643,0.238487,0.286186,0.833681
1781271123.181573,-0.664462,-2.455768,-9.470896,0.026414,0.511729,0.877814
1781271123.191573,-0.627784,-2.440204,-9.477386,-0.240700,0.722101,0.915666
1781271123.201573,-0.575176,-2.398680,-9.491269,-0.514628,0.844027,0.920433
1781271123.211573,-0.515795,-2.334343,-9.510670,-0.726019,0.840977,0.872283
1781271123.221573,-0.458782,-2.255590,-9.532562,-0.831715,0.749230,0.785700
1781271123.231573,-0.409660,-2.172666,-9.554054,-0.828251,0.616221,0.677796
1781271123.241573,-0.371496,-2.095608,-9.572844,-0.723152,0.456972,0.559118
1781271123.251573,-0.346126,-2.033000,-9.587323,-0.541093,0.288513,0.432651
1781271123.261573,-0.333189,-1.990610,-9.596699,-0.317708,0.139405,0.296167
1781271123.271573,-0.329352,-1.971067,-9.600875,-0.081183,0.040444,0.149718
1781271123.281573,-0.329189,-1.974304,-9.600212,0.145157,0.003938,0.005925
1781271123.291573,-0.327006,-1.997965,-9.595378,0.335297,0.026645,-0.118986
1781271123.301573,-0.318014,-2.037801,-9.587283,0.472929,0.095010,-0.208071
1781271123.311573,-0.299543,-2.088118,-9.577032,0.548445,0.193083,-0.242253
1781271123.321573,-0.271232,-2.142497,-9.565852,0.561049,0.295764,-0.211540
1781271123.331573,-0.235481,-2.195024,-9.554886,0.519855,0.369894,-0.118790
