time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1781271355000098800,34.48409887695313,112.82672053202987,1.3872764033627933,78.90863118264608,57.37385424546562,103.23672037944198,108.0512881676159,5.5621772098242745,3,41.28362755560164,1.4244280587300664
1781271356000103400,35.484103515625,112.76689184829593,1.4618620314139759,95.62617799181503,57.373850606759746,103.17689169570804,111.32059291250391,5.170400174068585,3,41.283648071192125,1.2386328221303369
1781271357000107300,36.48410717773437,112.79895803891122,1.495093745337955,95.17845960018194,57.373841641194204,103.20895788632333,119.27496578906678,4.919723471217899,3,41.28366862048502,1.2728164939241933
1781271358000112000,37.48411206054688,112.33845441415906,1.441019629013756,100.96930683532796,57.37383658472189,102.74845426157117,121.11123115274704,4.969486133283702,3,41.283687025103575,1.1555265306855038
1781271359000116000,38.48411596679688,112.26869287807494,1.3860983560234343,89.5015621446407,57.37383018757869,102.67869272548705,109.63266772610125,5.0240553772630765,3,41.28371296138424,1.2541992930306103
1781271360000120600,39.48412060546875,112.37828517798334,1.4978842050252341,105.95863733477506,57.37382643875854,102.78828502539545,105.96010765968275,4.7655838055144715,3,41.28373097194491,1.145258221795505
1781271361000125000,40.484125,112.75766003224999,1.4490563595595856,57.78050694717773,57.373814469336885,103.1676598796621,110.70920058238974,4.805916511946757,3,41.2837679000537,2.031795129208223
1781271362000128300,41.484128173828125,112.99310469254851,1.1891356636781842,81.90187701826325,57.37381091526458,103.40310453996062,120.14409655355348,4.58847877589279,3,41.283770993493825,1.1763106221203106
1781271363000134000,42.4841337890625,112.98306535091251,1.4090145036855233,84.43511530829643,57.37380631375571,103.39306519832462,129.40191175542517,4.416127011889845,3,41.283784803061444,1.3521130733990667
1781271364000137200,43.48413720703125,112.79766747541726,1.3985383070371078,93.38420582593818,57.37378769964379,103.20766732282937,170.78286580437575,4.487476590903097,3,41.28378012827101,1.213458368346775
1781271365000141000,44.48414111328125,112.96562087908387,1.326405950279378,83.0801296789475,57.37377618541339,103.37562072649598,203.27147978105674,4.499617998848362,3,41.28375395240778,1.293612396517453
1781271366000144400,45.48414428710937,113.32314396370202,0.6217306412552772,29.85711606695982,57.37376004025866,103.73314381111413,198.3990923053852,4.6923349757015655,3,41.283732173421456,1.6670130714438347
1781271367000148700,46.484148681640626,114.25751191284508,0.5047868065928335,22.215230547632093,57.37374266056274,104.66751176025718,198.06051983402892,4.859982292775716,3,41.283725708897684,1.6055680255450162
1781271368000152600,47.48415258789063,115.06964089628309,0.46522576447102976,24.871155268615524,57.373730267187135,105.4796407436952,200.2534763576201,4.9816713501496,3,41.28371582918629,1.4752196082845492
1781271369000156400,48.48415649414063,114.14410297293216,0.5481210518932824,27.64072008053884,57.37371397637839,104.55410282034427,203.0690981033909,5.10342398671182,3,41.28369586259478,1.5837181407181766
1781271370000160300,49.48416015625,112.2438567969948,0.47567996564378956,23.745897550985728,57.37369454389627,102.65385664440691,200.93979295690545,5.169755377174623,3,41.28368975480318,1.5103086110026869
1781271371000163800,50.48416381835938,112.90535737760365,0.48960713137000067,23.785971981217415,57.37368386324833,103.31535722501576,206.61824228563478,5.241351939779395,3.1361740582787747,41.28367209415058,1.60900490936084
1781271372000167000,51.4841669921875,113.25359628815204,0.531208583268769,26.32739959885182,57.373668977291906,103.66359613556415,201.35423248301285,5.25857637187529,3.3027974620308065,41.283670828241284,1.6348496656569453
1781271373000171500,52.48417163085937,114.7900105593726,0.4558839714405072,22.868581521687755,57.373649787128834,105.20001040678471,192.3905610246836,5.3511765533013245,3.264924913952622,41.28366492168155,1.5822533303707274
1781271374000175000,53.48417504882813,114.348686914891,0.5935294363057444,29.09732920064618,57.373636492529194,104.75868676230311,191.38416519355752,5.279632451100948,3.334842850307053,41.28365997400995,1.6277649536273269
1781271375000178700,54.4841787109375,113.40533189754933,0.5179045442648587,25.63907789210149,57.37362498592277,103.81533174496144,195.17969697587185,5.4215345362017,3.425911291525283,41.28364528995069,1.5667402866427231
1781271376000181800,55.484181640625,113.2965012555942,0.8691561269836517,45.9659983937512,57.37361243098618,103.7065011030063,193.72559111252258,5.455943844719828,3.4280961265286196,41.283642489555895,1.4662053153580368
1781271377000185600,56.484185546875,114.10304177831858,0.6037289361965683,32.23652321060696,57.373600395436775,104.5130416257307,199.28355218085275,5.43294960384491,3.5690010445486595,41.283631248663845,1.510832379362434
1781271378000189000,57.48418896484375,114.60284383688122,0.9102545941381875,48.65531675303471,57.37358813425064,105.01284368429333,199.02049314602547,5.423020060942978,3.435339597184047,41.28362116778115,1.4466608340019205
1781271379000192800,58.48419287109375,115.4885707674548,0.8627543473044651,40.46823910992201,57.37357851396792,105.89857061486691,200.08468001890992,5.472288207803927,3.450716392107728,41.283607168824595,1.5395453427912447
1781271380000196400,59.4841962890625,115.97900005895644,0.6466339656632367,30.936898261789135,57.373568747009685,106.38899990636855,200.02695677127494,5.523559188958049,3.6202990135270303,41.28359781927662,1.4516877762731693
1781271381000200000,60.484199951171874,115.08309722971171,0.8720696083291658,43.0973353660681,57.373550637902504,105.49309707712382,195.49503126851417,5.524229442687182,3.706769289223075,41.283589518633725,1.6385394510763382
1781271382000203800,61.484203857421875,114.29928065184504,0.7264022979986249,35.39266650184763,57.37353764760683,104.70928049925715,190.39765142641147,5.5613208107378,3.8416175254100637,41.28358855436841,1.5609277487417819
1781271383000207400,62.484207275390624,114.090406563133,0.674506695349234,33.4109319391153,57.37352508991353,104.50040641054511,180.79436017991333,5.577700312585364,3.788579857719167,41.28359949889589,1.5426298013576214
1781271384000210700,63.48421069335937,114.95420702919364,0.8909472441448248,47.91773956460613,57.37351360606479,105.36420687660575,184.85342695144126,5.556743314545105,3.599592146331493,41.28359534120659,1.4974610728238842
1781271385000214000,64.48421411132813,114.9530306532979,0.8673608820605067,46.40550822101628,57.37350070871305,105.36303050071001,188.19083853240255,5.428929883063317,3.4400704529031616,41.28358840799857,1.508351494486687
1781271386000217300,65.48421728515625,115.78836101759225,0.9194844984317903,43.411944332635485,57.373486172292644,106.19836086500436,189.08115252498013,5.327397578649564,3.3170888660801796,41.28358174988475,1.5932383466949582
1781271387000221200,66.48422119140625,114.97032061032951,0.6755480306590834,33.799196361736094,57.37347314825639,105.38032045774162,189.2679167829754,5.277080927279454,3.2883357370849664,41.283579988947885,1.623510179655638
1781271388000224000,67.48422412109375,115.39127266872674,0.7060200294459514,35.965758246807646,57.37346294581557,105.80127251613885,195.399945460423,5.298107698722039,3.4025287790065772,41.28356802398436,1.5598028676652733
1781271389000227300,68.48422729492188,114.25656091235578,0.7769314399046405,38.42884481984523,57.37344788246813,104.66656075976789,196.5158163720262,5.202018405292928,3.3637508430602012,41.28356811649216,1.5464494726152267
1781271390000231700,69.48423168945313,113.77182253357023,0.6561349753811547,32.606886224377895,57.37343790457864,104.18182238098234,206.13994842751745,5.216896363757737,3.3300240605308615,41.283559967368774,1.4117478084818473
